data_entrada,data_saida,tipo,entrada,saida,tamanho,pnl,capital_final,motivo_saida,score,atr_entrada
2026-04-09 05:40:00,2026-04-09 05:50:00,LONG,1.115,1.1113023802043924,3675.1264844840493,-13.58922044038986,665.8718015791031,STOP_LOSS,70,0.0024650798637383
2026-04-09 06:30:00,2026-04-09 07:05:00,LONG,1.12,1.115924477879347,3267.6637832719207,-13.317436031582062,652.5543655475211,STOP_LOSS,55,0.002717014747102093
2026-04-09 08:30:00,2026-04-09 08:35:00,LONG,1.117,1.113199507631482,3434.0517084210715,-13.051087310950422,639.5032782365707,STOP_LOSS,75,0.0025336615790119673
2026-04-09 12:30:00,2026-04-09 12:30:00,LONG,1.119,1.1125616626376424,1986.5478996968918,-12.790065564731416,626.7132126718393,STOP_LOSS,60,0.004292224908238414
2026-04-09 12:40:00,2026-04-09 16:20:00,LONG,1.123,1.115470759936718,1664.7449341617923,-12.534264253436787,614.1789484184026,STOP_LOSS,60,0.0050194933755213
2026-04-09 16:40:00,2026-04-09 17:00:00,LONG,1.121,1.128913309798499,2587.113626946644,20.47263161394694,634.6515800323496,TAKE_PROFIT,80,0.003165323919399612
2026-04-09 22:30:00,2026-04-09 22:55:00,LONG,1.135,1.1294431674638183,2284.220645124733,-12.693031600646991,621.9585484317025,STOP_LOSS,70,0.003704555024121164
2026-04-09 23:40:00,2026-04-09 23:45:00,LONG,1.132,1.1282697613931991,3334.6850643697735,-12.43917096863405,609.5193774630685,STOP_LOSS,80,0.0024868257378671452
2026-04-10 01:20:00,2026-04-10 02:05:00,LONG,1.127,1.1221924433215202,2535.6721437793203,-12.19038754926137,597.3289899138072,STOP_LOSS,80,0.0032050377856531363
2026-04-10 07:50:00,2026-04-10 07:50:00,LONG,1.123,1.1191477819723694,3101.2210920014386,-11.946579798276144,585.382410115531,STOP_LOSS,100,0.0025681453517537763
2026-04-10 09:10:00,2026-04-10 09:20:00,LONG,1.124,1.1208179354244607,3679.261663106289,-11.70764820231062,573.6747619132204,STOP_LOSS,95,0.0021213763836929423
2026-04-10 10:45:00,2026-04-10 11:05:00,LONG,1.138,1.1314546080850663,1752.9118786740719,-11.473495238264409,562.2012666749561,STOP_LOSS,55,0.004363594609955759
2026-04-10 11:55:00,2026-04-10 12:25:00,LONG,1.145,1.1395419572788112,2060.0837897161337,-11.244025333499124,550.9572413414569,STOP_LOSS,75,0.003638695147459135
2026-04-10 17:55:00,2026-04-10 18:05:00,LONG,1.135,1.1319317457794222,3591.340232803189,-11.019144826829137,539.9380965146278,STOP_LOSS,110,0.0020455028137185884
2026-04-10 20:05:00,2026-04-10 21:00:00,LONG,1.133,1.12967903408076,3251.6930895707947,-10.798761930292555,529.1393345843352,STOP_LOSS,55,0.0022139772794932512
2026-04-10 22:50:00,2026-04-10 22:50:00,LONG,1.134,1.1297258744931047,2476.012151401282,-10.582786691686705,518.5565478926485,STOP_LOSS,60,0.0028494170045968363
2026-04-11 02:30:00,2026-04-11 02:50:00,LONG,1.13,1.1265614022664237,3016.09311743095,-10.37113095785297,508.1854169347955,STOP_LOSS,50,0.0022923984890508634
2026-04-11 14:35:00,2026-04-11 14:55:00,LONG,1.127,1.1241427080858881,3557.1123442089915,-10.16370833869591,498.0217085960996,STOP_LOSS,75,0.001904861276074558
2026-04-11 15:30:00,2026-04-11 15:30:00,LONG,1.127,1.1243590454021115,3771.527984572553,-9.960434171921992,488.0612744241776,STOP_LOSS,110,0.0017606363985924072
